Product,URL,Angle,Bundle Diameter Max.,Bundle Diameter Min.,Length,Material,Mounting Hole Diameter
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Long, 0.26"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01652/,90 °,19.5 mm,12.7 mm,129.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",6.5 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Long, 0.26"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01971/,90 °,19.5 mm,12.7 mm,129.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",6.5 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Long, 0.33"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01460/,90 °,19.5 mm,12.7 mm,129.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",8.31 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Long, 0.33"" Hole Dia, PA66HIRHSUV/SS304, Black, 200/ctn",https://www.hellermanntyton.us/products/151-01972/,90 °,19.5 mm,12.7 mm,129.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",8.31 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Short, 0.41"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01458/,90 °,19.5 mm,12.7 mm,101.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",10.29 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Short, 0.41"" Hole Dia, PA666V0/SS304, Black, 280/ctn",https://www.hellermanntyton.us/products/151-03006/,90 °,19.5 mm,12.7 mm,101.9 mm,"Polyamide 6.6/6, V0 (PA666V0);Stainless Steel (SS304)",10.4 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Short, 0.41"" Hole Dia, PA66HIRHSUV/SS304, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01969/,90 °,19.5 mm,12.7 mm,101.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",10.29 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Short, 0.51"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01459/,90 °,19.5 mm,12.7 mm,101.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",12.95 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Short, 0.51"" Hole Dia, PA66HIRHSUV/SS304, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01970/,90 °,19.5 mm,12.7 mm,101.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Stainless Steel (SS304)",12.95 mm
"Ratchet P-Clamp, 0.52 - 0.77"" Bundle Dia, 90° Short, 0.26"" Hole Dia, PA66HIRHSUV/ST/ZN, Black, 280/ctn",https://www.hellermanntyton.us/products/151-01651/,90 °,19.5 mm,12.7 mm,101.9 mm,"Polyamide 6.6 high impact modified, heat and UV stabilized (PA66HIRHSUV);Steel (ST);Zinc plated (ZN)",6.5 mm
